,year,All industries,Private industries,"Agriculture, forestry, fishing, and hunting",Farms,"Forestry, fishing, and related activities",Mining,Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Manufacturing,Durable goods,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Nondurable goods,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Retail trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Transportation and warehousing,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,Information,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Finance, insurance, real estate, rental, and leasing",Finance and insurance,"Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Real estate and rental and leasing,Real estate,Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Professional and business services,"Professional, scientific, and technical services",Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,Administrative and support services,Waste management and remediation services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,Ambulatory health care services,Hospitals and nursing and residential care facilities,Hospitals,Nursing and residential care facilities,Social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation and food services,Accommodation,Food services and drinking places,"Other services, except government",Government,Federal,General government,National defense,Nondefense,Government enterprises,State and local,Addenda:,Private goods-producing industries [1],Private services-producing industries [2],Private goods-producing industries\1\,Private services-producing industries\2\,Information-communications-technology-producing industries\3\
0,1947,471889,431975,32163,30576,1587,10822,3737,5565,1520,6005,21209,185043,80934,5288,3715,14288,11805,10053,3801,5048,14913,4293,2553,5179,104109,45594,13269,14622,7102,2718,8131,9989,2683,19601,37140,,,,,23708,,,,,,,,,11433,,,,,36265,11179,,,,,25086,23118,,,1967,12864,5619,,,,5198,2046,,,7143,1430,5713,,,,,,17401,3075,,,14326,2521,11806,11178,39914,25784,24014,,,1771,14129,,249237.0,182739.0,,,
1,1948,502514,461215,36513,34615,1897,13643,5442,6137,2063,7053,27806,186753,81705,5090,3883,12446,12046,9930,3636,4793,16955,4728,2408,5788,105048,45082,13219,14314,6941,3275,7864,11798,2555,19223,40922,,,,,25300,,,,,,,,,12535,,,,,39991,12177,,,,,27814,25667,,,2147,14238,6228,,,,5781,2229,,,8072,1612,6460,,,,,,17392,3045,,,14347,2370,11976,11776,41299,25421,23541,,,1880,15878,,264714.0,196501.0,,,
2,1949,510344,465413,30732,29034,1698,12551,4856,5672,2024,7391,28501,190747,86061,4895,4045,12342,12609,9776,3456,4521,21057,5134,2366,5860,104686,44531,13166,14008,6778,3409,8471,11899,2424,20348,41138,,,,,25527,,,,,,,,,13523,,,,,42967,12700,,,,,30267,28000,,,2266,14672,6530,,,,5779,2364,,,8362,1674,6688,,,,,,17074,3003,,,14071,2303,11768,11877,44931,27290,25262,,,2028,17641,,262533.0,202880.0,,,
3,1950,577814,531971,33395,31221,2175,14119,5241,6503,2374,8331,35618,224523,108393,6648,5032,16661,15653,11024,4528,5460,28173,5180,3245,6787,116130,46134,15778,14563,8126,3582,10538,14175,3234,24753,45390,,,,,28638,,,,,,,,,14532,,,,,47572,14213,,,,,33359,30858,,,2501,16341,7233,,,,6442,2666,,,8909,1787,7122,,,,,,17313,2942,,,14371,2350,12021,12537,45842,26681,24849,,,1832,19161,,307656.0,224316.0,,,
4,1951,654590,593257,38890,36409,2480,16228,6040,7376,2812,9370,37759,253097,122615,7805,5674,19455,20276,14015,5231,6700,24883,8000,3502,7074,130482,50719,16619,15396,10401,3741,12934,16616,4056,27070,48504,,,,,31997,,,,,,,,,15850,,,,,53243,16080,,,,,37163,34364,,,2799,18839,8326,,,,7425,3088,,,9593,1929,7664,,,,,,19295,2994,,,16301,2554,13748,13520,61332,40622,38853,,,1769,20711,,345974.0,247284.0,,,
5,1952,685974,612097,38222,35741,2481,16579,6267,7123,3189,10370,39339,255627,126268,7656,5514,18198,21426,15335,6574,6926,22321,11492,3538,7288,129360,51388,15030,15378,9655,4083,13534,16437,3854,27234,50491,,,,,33229,,,,,,,,,17306,,,,,58099,17106,,,,,40993,37947,,,3047,20359,9152,,,,7816,3392,,,10611,2138,8473,,,,,,20494,3104,,,17390,2702,14688,14136,73877,51642,48916,,,2726,22235,,349767.0,262330.0,,,
6,1953,739244,659457,34801,32217,2584,18062,6896,7677,3488,11642,41869,284172,145708,7671,5936,23169,24458,15645,8078,7582,29439,12276,3903,7550,138464,56555,15258,16074,10820,4849,13422,17374,4112,27751,52737,,,,,34814,,,,,,,,,18886,,,,,64809,19782,,,,,45027,41671,,,3355,22096,10011,,,,8345,3740,,,11500,2322,9179,,,,,,21308,3218,,,18089,2860,15229,15012,79786,56104,53101,,,3004,23682,,378904.0,280553.0,,,
7,1954,739892,662294,34575,32167,2408,17997,7136,7131,3730,12651,44038,277287,138992,7424,5924,22800,20323,14465,7656,6866,28204,14287,3686,7358,138295,58287,13698,16179,11007,5223,13872,16302,3726,29855,52909,,,,,30416,,,,,,,,,19545,,,,,69993,21565,,,,,48429,44797,,,3632,22891,10664,,,,8262,3966,,,12606,2548,10058,,,,,,21864,3384,,,18480,2983,15496,15667,77598,52070,48709,,,3361,25528,,373897.0,288397.0,,,
8,1955,802620,722069,34430,31611,2819,19905,7644,8202,4058,14006,48586,306225,160414,8602,6883,29059,21839,16066,7837,7432,36822,13634,4251,7990,145811,57392,14755,17201,12473,5736,15398,18262,4593,33358,57205,,,,,33365,,,,,,,,,21182,,,,,75233,23791,,,,,51442,47480,,,3963,25404,11886,,,,9149,4369,,,13448,2727,10722,,,,,,22795,3646,,,19150,3113,16036,16928,80551,52530,49054,,,3476,28021,,409145.0,312924.0,,,
9,1956,841770,758844,34479,31594,2886,21215,8229,8739,4247,15424,51604,317804,167085,8450,7284,31122,23517,18263,9397,8584,32127,15224,4565,8550,150718,58227,14218,17910,13520,6184,17220,18904,4537,35895,59251,,,,,35381,,,,,,,,,22544,,,,,80229,25725,,,,,54504,50177,,,4326,27731,13302,,,,9590,4839,,,14912,3028,11884,,,,,,24015,3909,,,20105,3306,16799,18360,82926,52567,49211,,,3356,30359,,425102.0,333742.0,,,
10,1957,875488,785148,34471,31813,2658,21168,9071,7951,4146,16585,52701,324942,171875,7616,7144,28151,24357,18196,11971,8458,34859,18015,4551,8558,153067,58800,13489,17890,13094,6511,18339,19353,5592,36227,62686,,,,,36161,,,,,,,,,24297,,,,,84865,27057,,,,,57808,53160,,,4649,30195,14811,,,,10079,5304,,,16301,3317,12985,,,,,,24889,3802,,,21087,3570,17516,19661,90339,57092,53290,,,3803,33247,,433282.0,351867.0,,,
11,1958,897466,801361,38354,35738,2617,19010,8525,6732,3753,17646,53587,329522,163338,7319,8632,24475,22266,17950,13777,9143,28490,18818,5343,7126,166184,65976,14277,18732,12433,9588,16910,21354,6914,35946,63022,,,,,34189,,,,,,,,,25730,,,,,89419,27895,,,,,61524,56559,,,4964,30988,15411,,,,9928,5648,,,18064,3693,14370,,,,,,25033,3846,,,21187,3523,17664,20852,96105,59280,55191,,,4089,36824,,440473.0,360888.0,,,
12,1959,978900,880103,38240,35043,3196,19513,8770,7069,3674,18879,59015,370981,190917,8312,10157,29170,24781,20176,17340,10929,36859,19331,5817,8045,180064,69007,16121,20314,14818,9945,17362,24505,7991,40521,68397,,,,,37556,,,,,,,,,27562,,,,,95605,30276,,,,,65329,59962,,,5367,34576,17368,,,,11019,6188,,,20146,4170,15976,,,,,,26602,4284,,,22318,3671,18647,22509,98798,59016,54425,,,4591,39782,,487749.0,392354.0,,,
13,1960,1005957,904003,38999,35716,3283,19495,8850,7530,3115,20150,58204,376756,193938,7574,10196,29478,24073,20757,17493,11388,40312,18531,5709,8427,182818,71328,15784,20313,14480,10186,17644,25178,7905,41159,70358,,,,,38205,,,,,,,,,28920,,,,,102128,33554,,,,,68574,62797,,,5777,36201,18388,,,,11296,6517,,,21688,4553,17135,,,,,,27867,4771,,,23096,3880,19216,23873,101954,58417,53681,,,4736,43537,,493454.0,410550.0,,,
14,1961,1029666,921769,40133,36733,3400,19367,9108,7457,2802,20868,59527,375585,189891,7132,10288,29046,23164,21055,18889,11876,34409,19698,5573,8762,185693,73842,15886,20042,14503,10010,17356,26189,7866,42422,70781,,,,,38738,,,,,,,,,30121,,,,,108475,36733,,,,,71742,65590,,,6153,38689,20165,,,,11570,6953,,,23142,4933,18209,,,,,,28674,5213,,,23461,3991,19471,25246,107897,60357,55544,,,4813,47539,,494612.0,427157.0,,,
15,1962,1105525,987329,41910,38111,3799,19538,9411,7448,2680,21853,62794,405560,210458,7415,10951,31239,24823,23292,21072,13165,42667,20668,6064,9103,195102,76558,17207,21080,15490,10221,17446,28534,8567,44954,76830,,,,,41897,,,,,,,,,32240,,,,,114848,39073,,,,,75775,69090,,,6685,42231,22189,,,,12571,7471,,,25452,5488,19964,,,,,,30488,5719,,,24769,4262,20507,26732,118196,67161,62082,,,5078,51036,,529803.0,457525.0,,,
16,1963,1163013,1036910,43465,39210,4255,19602,9628,7523,2451,22363,66766,423875,225619,7873,11809,33297,25937,25465,23682,14351,46009,21462,6050,9685,198256,76136,17841,21858,16445,7548,18003,31334,9090,47628,81182,,,,,43591,4204.0,11383.0,2745.0,11610.0,3752.0,1420.0,6722.0,1755.0,34880,9921.0,4303.0,19486.0,1171.0,119950,40817,17583.0,3124.0,18293.0,1817.0,79133,71985,,,7148,45263,24046,6978.0,1977.0,15091.0,13145,8072,5642.0,2430.0,28102,6128,21974,11898.0,9026.0,,,1050.0,32084,6188,2985.0,3203.0,25896,4586,21309,28159,126104,70449,64608,,,5841,55654,,553708.0,483202.0,,,
17,1964,1242665,1108736,42348,37660,4687,20616,9792,8195,2629,23142,72596,451686,243530,8463,12437,37578,28256,28819,24111,15412,49797,21976,6487,10195,208157,79173,19193,22864,17207,7932,18465,33648,9675,52428,85326,,,,,46767,4771.0,11787.0,3009.0,12654.0,3877.0,1562.0,7195.0,1911.0,37082,10430.0,4375.0,20987.0,1291.0,130797,45982,20172.0,3397.0,20438.0,1976.0,84814,77558,,,7256,49392,26132,7384.0,2174.0,16573.0,14187,9073,6373.0,2700.0,31929,6706,25223,13952.0,10118.0,,,1153.0,34466,6634,3264.0,3370.0,27832,5152,22680,30161,133930,73185,66914,,,6271,60744,,587247.0,521489.0,,,
18,1965,1355977,1211715,46664,41586,5078,21701,10255,8796,2650,24320,79096,496256,275631,8951,13384,42052,31787,32516,27734,17350,59983,23725,7051,11098,220626,81715,20474,24150,18618,8658,19289,36884,10838,60730,91638,,,,,50500,5595.0,12385.0,3114.0,13778.0,4018.0,1716.0,7801.0,2094.0,40514,11162.0,4956.0,22965.0,1430.0,141649,50331,21658.0,3828.0,22694.0,2151.0,91319,84047,,,7272,54051,28498,8019.0,2351.0,18128.0,15383,10170,7182.0,2988.0,34751,7569,27182,14872.0,10964.0,,,1347.0,37443,6792,3410.0,3383.0,30651,6045,24605,32402,144261,77388,70640,,,6748,66874,,643717.0,567998.0,,,
19,1966,1479160,1316629,50175,44628,5547,23001,11119,9215,2667,25807,83209,542433,305130,9551,14014,45334,36902,37876,33497,19680,60378,28317,7689,11892,237303,87267,21915,25407,20378,9433,20635,40277,11991,67326,97037,,,,,54896,6474.0,12974.0,3687.0,14921.0,4252.0,1884.0,8421.0,2284.0,45179,13176.0,5378.0,25007.0,1618.0,152654,54858,23936.0,4537.0,24038.0,2346.0,97797,90450,,,7347,60857,32549,9044.0,2957.0,20548.0,16901,11407,8281.0,3127.0,38474,8514,29960,15803.0,12530.0,,,1627.0,40730,7369,3749.0,3621.0,33361,6826,26535,34851,162531,88308,81218,,,7090,74223,,698818.0,617811.0,,,
20,1967,1554974,1372870,50558,44697,5861,23675,12064,8970,2641,27212,85360,558387,310151,9865,13867,42876,41186,39835,35436,20287,53241,32986,7856,12717,248236,91540,22255,26667,21183,10031,22283,41561,12716,69670,99243,,,,,57875,7830.0,12670.0,3945.0,15592.0,4562.0,2091.0,8823.0,2362.0,48461,13577.0,5800.0,27318.0,1766.0,164165,58395,26388.0,5229.0,24223.0,2554.0,105770,97754,,,8016,64742,34670,9528.0,2787.0,22356.0,17731,12341,9170.0,3172.0,42596,9389,33207,16562.0,14735.0,,,1911.0,43104,7815,3998.0,3818.0,35288,7982,27306,37821,182104,100196,92536,,,7661,81908,,717981.0,654889.0,,,
21,1968,1689763,1486794,52329,45518,6811,24976,12520,9673,2783,28753,96275,603144,340375,11534,15148,46515,44813,41349,37783,21527,63623,35784,8573,13728,262769,94665,24272,28521,22431,10812,23072,44650,14346,73693,106042,,,,,62457,8948.0,13142.0,4490.0,16649.0,4980.0,2261.0,9504.0,2484.0,52736,14514.0,6632.0,29506.0,2085.0,179931,66049,28448.0,6534.0,28182.0,2884.0,113882,105147,,,8735,70296,37387,10026.0,2878.0,24482.0,19417,13492,9929.0,3563.0,48260,10421,37839,18090.0,17605.0,,,2144.0,48037,8476,4420.0,4055.0,39562,8777,30785,39864,202969,110405,101475,,,8930,92564,,776725.0,710069.0,,,
22,1969,1824902,1605413,57202,49499,7703,27089,13424,10624,3040,30486,105354,642253,363464,13108,16164,51051,47484,45033,40201,23009,66125,37086,9326,14879,278789,100694,25059,30174,24679,11798,23876,46758,15752,78502,112004,,,,,70180,10177.0,13758.0,4347.0,20235.0,5496.0,2553.0,10806.0,2808.0,58128,15932.0,6987.0,32695.0,2514.0,197933,74108,35005.0,6003.0,29816.0,3284.0,123824,114198,,,9626,77575,41780,11054.0,3561.0,27165.0,20687,15108,11206.0,3902.0,54788,11475,43312,20196.0,20651.0,,,2465.0,52208,9283,4893.0,4390.0,42925,9466,33460,41711,219489,115168,105619,,,9549,104321,,831898.0,773515.0,,,
23,1970,1902979,1666954,59505,51782,7723,29897,14230,12643,3024,33014,108462,634325,349678,13225,16128,49333,45686,45552,39811,23057,57542,35339,9130,14876,284646,106024,24467,29499,25143,12254,23952,47527,15781,83723,118276,,,,,74855,10814.0,14303.0,4700.0,21660.0,6077.0,2875.0,11464.0,2961.0,62363,17073.0,7084.0,35334.0,2872.0,215146,81082,40328.0,4820.0,32259.0,3675.0,134065,123252,,,10813,83998,46199,13056.0,4166.0,28976.0,21321,16478,12114.0,4364.0,61558,12828,48730,22518.0,23455.0,,,2757.0,57902,10123,5353.0,4770.0,47780,10283,37497,43930,236025,117615,107743,,,9872,118410,,832188.0,834765.0,,,
24,1971,2049301,1793029,64341,55438,8903,29925,14896,12150,2878,35324,128654,669324,370572,15317,17836,48979,46481,46134,39066,23153,74115,34211,9815,15466,298752,110946,26119,30904,25618,12608,25416,49681,17460,90518,126626,,,,,80370,11782.0,15123.0,4510.0,23568.0,6665.0,3153.0,12394.0,3176.0,66774,17509.0,7676.0,38325.0,3264.0,235906,87592,42638.0,6630.0,34214.0,4110.0,148314,135736,,,12579,89935,49536,14436.0,3858.0,31242.0,22861,17538,12901.0,4637.0,68650,13882,54768,24177.0,27316.0,,,3274.0,60763,10745,5723.0,5022.0,50018,10135,39883,45917,256272,123084,112466,,,10618,133188,,892244.0,900785.0,,,
25,1972,2273725,1995036,74860,63374,11486,31100,14978,12790,3332,40210,148572,748040,417710,19850,20471,55378,51818,53883,43427,26021,82021,34733,11912,18195,330330,122584,30252,32253,28386,14276,26545,55200,20834,100260,138176,,,,,87541,13142.0,15945.0,4922.0,25985.0,7062.0,3518.0,13542.0,3426.0,74397,18960.0,8637.0,42922.0,3878.0,260333,97510,46436.0,7898.0,38678.0,4498.0,162823,148328,,,14495,99293,54686,15886.0,3908.0,34893.0,24930,19676,14499.0,5178.0,76038,14887,61151,26348.0,30833.0,,,3970.0,68413,11562,6095.0,5466.0,56851,12455,44396,47803,278689,131432,119243,,,12190,147257,,1002572.0,992464.0,,,
26,1973,2556021,2258868,104777,91298,13479,36629,17199,15646,3783,43341,163227,864072,484529,22877,22719,68342,59817,63119,49641,29887,93959,41098,13377,19693,379543,142636,34047,34265,32578,15794,32709,63076,24439,110585,148841,,,,,96666,15025.0,17657.0,5764.0,28064.0,7232.0,3883.0,15243.0,3798.0,83258,20943.0,9255.0,48532.0,4528.0,282923,104460,50490.0,6102.0,42698.0,5170.0,178463,162677,,,15786,112199,62150,18303.0,4545.0,39302.0,27597,22452,16772.0,5681.0,84810,16373,68437,29902.0,34134.0,,,4402.0,76130,13122,6787.0,6335.0,63007,13579,49428,51412,297152,134535,122207,,,12327,162618,,1168704.0,1090164.0,,,
27,1974,2877753,2547749,106585,91988,14597,57127,27588,23674,5865,52607,163790,1004444,541165,24334,25075,89659,70462,74241,55132,33624,86994,46073,13894,21676,463280,168492,36243,34947,40331,17582,55688,81635,28362,128685,168207,,,,,109155,17804.0,20150.0,7199.0,30079.0,7859.0,4352.0,17459.0,4253.0,91497,22959.0,10119.0,53403.0,5016.0,309141,114947,58144.0,5237.0,45660.0,5906.0,194193,177579,,,16615,123233,68077,20239.0,5539.0,42299.0,29951,25205,19138.0,6067.0,94772,17688,77084,33124.0,39127.0,,,4834.0,83206,14909,7524.0,7385.0,68297,14436,53861,55298,330005,146460,131690,,,14769,183545,,1331947.0,1215802.0,,,
28,1975,3055319,2689339,108164,94384,13780,67604,31801,27791,8012,63322,160754,1025376,534565,22569,25833,77116,72694,77708,54355,31079,86956,50581,13046,22630,490811,178098,34507,35729,41483,18576,66495,87909,28015,136074,166679,,,,,113750,18149.0,19930.0,7860.0,31558.0,8437.0,5230.0,18169.0,4417.0,102468,24859.0,11282.0,60722.0,5604.0,346994,134312,70288.0,7161.0,50143.0,6719.0,212682,195016,,,17666,134090,73787,21029.0,6790.0,45967.0,33012,27291,20674.0,6617.0,109512,19506,90006,38408.0,46021.0,,,5577.0,93154,16795,8272.0,8523.0,76359,15818,60541,61399,365980,157213,142301,,,14913,208767,,1361898.0,1327441.0,,,
